asset_id,sonyci_id,media_type,asset_type,level_of_user_access,broadcast_date,created_date,consolidated_title,proxy_duration
cpb-aacip-085ea1bad2c,0681ddb3affa46d6b7f3b8fb670f34ca,Moving Image,Raw Footage,On Location,,1985-01-11,Dialog: Roll-In Segment Reel (Jan 1985),
cpb-aacip-0b1c33f9160,405353d29e6542f2b684f137d0a6b6e5,Moving Image,Raw Footage,On Location,,1991-06-07,Dialog: Roll-In Segment Reel (Jun 1991 - May 1992),
cpb-aacip-225-0000006t,d1cde63ef08e42d0a27419b8df5857f3,Moving Image,Program,,,,OPENING OF HAWAII STATE LEGISLATURE 1975 - PART 1,
cpb-aacip-225-0000007j,ac3df261084e4263b88e43b3d7b76176,Moving Image,Episode,,,,,
cpb-aacip-225-000000hb,384845718fa045c79ae8a5139d118604,Moving Image,Episode,,,,DIALOG-China: Voices for Democracy: ,
cpb-aacip-225-009w0w1j,d81951447dfa49fa868650f0bb3b96a6,Moving Image,Episode,,,,,
cpb-aacip-225-009w0w28,6d62ebed0677426cacc4441f6c171620,Moving Image,Episode,,,,,
cpb-aacip-225-010p2nnm,27db52a2996b4d5992c2711f7cb7c667,Moving Image,Episode,,,,,
cpb-aacip-225-01bk3js3,5e16540ef8f34818b7e9a1e5a218a1b2,Moving Image,Program,,,,CATERING FAMILY STYLE,
cpb-aacip-225-01bk3jzq,4951637720ba47d09ba9528c45d85495,Moving Image,Episode,,,,DIALOG-Democratic 2nd Congressional District Candidates (Part 1): ,
